"","DOY","obs1","obs2","ysi_p","hylb_p","ysi_m","hylb_m"
"15265",187.715277777778,2.86,9.53,2.86,9.53,2.86,9.53
"15266",187.71875,2.68,10.06,2.68,10.06,2.68,10.06
"15267",187.722222222222,2.75,9.52,2.75,9.52,2.75,9.52
"15268",187.725694444444,2.71,14.45,2.71,14.45,2.71,14.45
"15269",187.729166666667,2.81,9.88,2.81,9.88,2.81,9.88
"15270",187.732638888889,2.77,9.67,2.77,9.67,2.77,9.67
"15271",187.736111111111,2.58,10.58,2.58,10.58,2.58,10.58
"15272",187.739583333333,2.76,10.3,2.76,10.3,2.76,10.3
"15273",187.743055555556,2.81,10.4,2.81,10.4,2.81,10.4
"15274",187.746527777778,2.72,10.65,2.72,10.65,2.72,10.65
"15275",187.75,3.03,10.05,3.03,10.05,3.03,10.05
"15276",187.753472222222,3.2,10.24,3.2,10.24,3.2,10.24
"15277",187.756944444444,3.14,10.22,3.14,10.22,3.14,10.22
"15278",187.760416666667,2.99,10.57,2.99,10.57,2.99,10.57
"15279",187.763888888889,3.01,10.82,3.01,10.82,3.01,10.82
"15280",187.767361111111,3.5,10.68,3.5,10.68,3.5,10.68
"15281",187.770833333333,2.94,27.1,2.94,27.1,2.94,27.1
"15282",187.774305555556,3.09,10.17,3.09,10.17,3.09,10.17
"15283",187.777777777778,2.84,10.31,2.84,10.31,2.84,10.31
"15284",187.78125,2.98,10.85,2.98,10.85,2.98,10.85
"15285",187.784722222222,3.03,10.21,3.03,10.21,3.03,10.21
"15286",187.788194444444,3.13,10.69,3.13,10.69,3.13,10.69
"15287",187.791666666667,2.97,10.47,2.97,10.47,2.97,10.47
"15288",187.795138888889,2.95,11.39,2.95,11.39,2.95,11.39
"15289",187.798611111111,2.96,11.23,2.96,11.23,2.96,11.23
"15290",187.802083333333,2.95,11.33,2.95,11.33,2.95,11.33
"15291",187.805555555556,2.9,10.92,2.9,10.92,2.9,10.92
"15292",187.809027777778,2.99,11.08,2.99,11.08,2.99,11.08
"15293",187.8125,2.88,11.57,2.88,11.57,2.88,11.57
"15294",187.815972222222,3.02,13.26,3.02,13.26,3.02,13.26
"15295",187.819444444444,3.28,13.81,3.28,13.81,3.28,13.81
"15296",187.822916666667,3.68,13.9,3.68,13.9,3.68,13.9
"15297",187.826388888889,3.63,20.13,3.63,20.13,3.63,20.13
"15298",187.829861111111,3.45,13.58,3.45,13.58,3.45,13.58
"15299",187.833333333333,3.85,15.24,3.85,15.24,3.85,15.24
"15300",187.836805555556,4.01,14.84,4.01,14.84,4.01,14.84
"15301",187.840277777778,3.73,14.83,3.73,14.83,3.73,14.83
"15302",187.84375,3.83,14.39,3.83,14.39,3.83,14.39
"15303",187.847222222222,3.71,14.14,3.71,14.14,3.71,14.14
"15304",187.850694444444,4.65,NA,4.65,14.2095688532526,4.65,13.6960606302176
"15305",187.854166666667,4.12,16.65,4.12,16.65,4.12,16.65
"15306",187.857638888889,4.06,14.9,4.06,14.9,4.06,14.9
"15307",187.861111111111,4.23,NA,4.23,14.8355151516507,4.23,14.5862399374048
"15308",187.864583333333,4.1,14.32,4.1,14.32,4.1,14.32
"15309",187.868055555556,4.22,NA,4.22,14.6090530558581,4.22,13.8338497936527
"15310",187.871527777778,4.32,NA,4.32,14.5801092716669,4.32,13.5326277248347
"15311",187.875,4.08,16.17,4.08,16.17,4.08,16.17
"15312",187.878472222222,3.8,14.36,3.8,14.36,3.8,14.36
"15313",187.881944444444,3.9,13.62,3.9,13.62,3.9,13.62
"15314",187.885416666667,3.99,15.88,3.99,15.88,3.99,15.88
"15315",187.888888888889,3.94,14.2,3.94,14.2,3.94,14.2
"15316",187.892361111111,3.93,14.63,3.93,14.63,3.93,14.63
"15317",187.895833333333,3.96,14.52,3.96,14.52,3.96,14.52
"15318",187.899305555556,3.81,14.69,3.81,14.69,3.81,14.69
"15319",187.902777777778,4.58,NA,4.58,14.435498020676,4.58,14.3634687991859
"15320",187.90625,3.89,14.82,3.89,14.82,3.89,14.82
"15321",187.909722222222,3.9,12.85,3.9,12.85,3.9,12.85
"15322",187.913194444444,3.99,13.17,3.99,13.17,3.99,13.17
"15323",187.916666666667,3.92,14.54,3.92,14.54,3.92,14.54
"15324",187.920138888889,3.96,14.4,3.96,14.4,3.96,14.4
"15325",187.923611111111,3.94,13.54,3.94,13.54,3.94,13.54
"15326",187.927083333333,3.9,15.75,3.9,15.75,3.9,15.75
"15327",187.930555555556,4.01,14.8,4.01,14.8,4.01,14.8
"15328",187.934027777778,3.97,14.66,3.97,14.66,3.97,14.66
"15329",187.9375,3.87,13.23,3.87,13.23,3.87,13.23
"15330",187.940972222222,4.32,NA,4.32,14.0442593693245,4.32,14.5794243804194
"15331",187.944444444444,4.12,12.73,4.12,12.73,4.12,12.73
"15332",187.947916666667,4.13,15.65,4.13,15.65,4.13,15.65
"15333",187.951388888889,4.08,15.16,4.08,15.16,4.08,15.16
"15334",187.954861111111,4.1,15.3,4.1,15.3,4.1,15.3
"15335",187.958333333333,4.17,13.95,4.17,13.95,4.17,13.95
"15336",187.961805555556,4.02,14.65,4.02,14.65,4.02,14.65
"15337",187.965277777778,4.32,NA,4.32,14.4082365857731,4.32,13.5837040063253
"15338",187.96875,4.08,13.1,4.08,13.1,4.08,13.1
"15339",187.972222222222,4.28,NA,4.28,13.9936235590674,4.28,13.0376175636298
