"","DOY","obs1","obs2","ysi_p","hylb_p","ysi_m","hylb_m"
"209",129.722222222222,4.2,10.1,4.2,10.1,4.2,10.1
"210",129.725694444444,4.9,11,4.9,11,4.9,11
"211",129.729166666667,3.9,10.5,3.9,10.5,3.9,10.5
"212",129.732638888889,4.3,11,4.3,11,4.3,11
"213",129.736111111111,4.7,10.2,4.7,10.2,4.7,10.2
"214",129.739583333333,4.4,10.6,4.4,10.6,4.4,10.6
"215",129.743055555556,4.7,12.4,4.7,12.4,4.7,12.4
"216",129.746527777778,4.6,11.4,4.6,11.4,4.6,11.4
"217",129.75,4.1,11.9,4.1,11.9,4.1,11.9
"218",129.753472222222,4.3,12.5,4.3,12.5,4.3,12.5
"219",129.756944444444,3.8,11.9,3.8,11.9,3.8,11.9
"220",129.760416666667,4.5,13.8,4.5,13.8,4.5,13.8
"221",129.763888888889,4.9,11.7,4.9,11.7,4.9,11.7
"222",129.767361111111,4.3,11.9,4.3,11.9,4.3,11.9
"223",129.770833333333,4.7,12.2,4.7,12.2,4.7,12.2
"224",129.774305555556,4.4,12.7,4.4,12.7,4.4,12.7
"225",129.777777777778,4,12.6,4,12.6,4,12.6
"226",129.78125,5.6,14.3,5.6,14.3,5.6,14.3
"227",129.784722222222,4.4,13.1,4.4,13.1,4.4,13.1
"228",129.788194444444,4.5,11.4,4.5,11.4,4.5,11.4
"229",129.791666666667,4.6,12.1,4.6,12.1,4.6,12.1
"230",129.795138888889,4.5,12.8,4.5,12.8,4.5,12.8
"231",129.798611111111,4.8,13.3,4.8,13.3,4.8,13.3
"232",129.802083333333,3.8,12.6,3.8,12.6,3.8,12.6
"233",129.805555555556,5.5,12.8,5.5,12.8,5.5,12.8
"234",129.809027777778,4.5,12.6,4.5,12.6,4.5,12.6
"235",129.8125,5.3,13.6,5.3,13.6,5.3,13.6
"236",129.815972222222,4.8,13.1,4.8,13.1,4.8,13.1
"237",129.819444444444,4.9,12.7,4.9,12.7,4.9,12.7
"238",129.822916666667,5.1,11.4,5.1,11.4,5.1,11.4
"239",129.826388888889,4.8,13.7,4.8,13.7,4.8,13.7
"240",129.829861111111,3.9,12.6,3.9,12.6,3.9,12.6
"241",129.833333333333,3.4,12.7,3.4,12.7,3.4,12.7
"242",129.836805555556,4.4,10.7,4.4,10.7,4.4,10.7
"243",129.840277777778,3.9,10.7,3.9,10.7,3.9,10.7
"244",129.84375,4.6,10.9,4.6,10.9,4.6,10.9
"245",129.847222222222,3.8,9.6,3.8,9.6,3.8,9.6
"246",129.850694444444,3.4,8.5,3.4,8.5,3.4,8.5
"247",129.854166666667,4.1,9.4,4.1,9.4,4.1,9.4
"248",129.857638888889,4.3,8.3,4.3,8.3,4.3,8.3
"249",129.861111111111,4.5,11.3,4.5,11.3,4.5,11.3
"250",129.864583333333,4,9.9,4,9.9,4,9.9
"251",129.868055555556,4.5,13,4.5,13,4.5,13
"252",129.871527777778,4.7,13.8,4.7,13.8,4.7,13.8
"253",129.875,3.6,13.3,3.6,13.3,3.6,13.3
"254",129.878472222222,4.5,14.3,4.5,14.3,4.5,14.3
"255",129.881944444444,3.6,9,3.6,9,3.6,9
"256",129.885416666667,4.3,8.2,4.3,8.2,4.3,8.2
"257",129.888888888889,3.6,14,3.6,14,3.6,14
"258",129.892361111111,3.8,11.6,3.8,11.6,3.8,11.6
"259",129.895833333333,4.7,9.7,4.7,9.7,4.7,9.7
"260",129.899305555556,4.4,8.7,4.4,8.7,4.4,8.7
"261",129.902777777778,4,11.4,4,11.4,4,11.4
"262",129.90625,3.6,8.9,3.6,8.9,3.6,8.9
"263",129.909722222222,4.8,9,4.8,9,4.8,9
"264",129.913194444444,4.5,10.2,4.5,10.2,4.5,10.2
"265",129.916666666667,4.5,9.8,4.5,9.8,4.5,9.8
"266",129.920138888889,3.4,9.5,3.4,9.5,3.4,9.5
"267",129.923611111111,3.7,8.8,3.7,8.8,3.7,8.8
"268",129.927083333333,4.3,9.5,4.3,9.5,4.3,9.5
"269",129.930555555556,3.6,10.7,3.6,10.7,3.6,10.7
"270",129.934027777778,4.5,9.7,4.5,9.7,4.5,9.7
"271",129.9375,4.8,9.9,4.8,9.9,4.8,9.9
"272",129.940972222222,3.6,9.5,3.6,9.5,3.6,9.5
