"doy","thermocline","depth","lake","year"
190,"ZT2",2.25,"T",2014
197,"ZT1a",1.81730769230769,"T",2014
197,"ZT1b",4.25,"T",2014
197,"ZT2",2.25,"T",2014
204,"ZT1a",1.04166666666667,"T",2014
204,"ZT1b",4.25,"T",2014
204,"ZT2",2.75,"T",2014
211,"ZT1a",1.43,"T",2014
211,"ZT1b",4.17857142857143,"T",2014
211,"ZT2",2.25,"T",2014
218,"ZT1a",1.05,"T",2014
218,"ZT1b",4.32142857142857,"T",2014
218,"ZT2",2.25,"T",2014
225,"ZT1a",1.54411764705882,"T",2014
225,"ZT1b",4.46428571428571,"T",2014
225,"ZT2",2.25,"T",2014
232,"ZT1a",1.87162162162162,"T",2014
232,"ZT1b",4.5,"T",2014
232,"ZT2",2.75,"T",2014
239,"ZT1a",1.55,"T",2014
239,"ZT1b",4.58333333333333,"T",2014
239,"ZT2",2.75,"T",2014
139,"ZT1a",2.6,"L",2015
139,"ZT1b",4.25,"L",2015
139,"ZT2",3.25,"L",2015
146,"ZT1a",1.55,"L",2015
146,"ZT1b",4.65,"L",2015
146,"ZT2",3.75,"L",2015
153,"ZT1a",2.33333333333333,"L",2015
153,"ZT1b",4.91666666666667,"L",2015
153,"ZT2",2.75,"L",2015
156,"ZT1a",2.08333333333333,"L",2015
156,"ZT1b",4.95,"L",2015
156,"ZT2",2.75,"L",2015
160,"ZT1a",2.03125,"L",2015
160,"ZT1b",5.39285714285714,"L",2015
160,"ZT2",2.75,"L",2015
165,"ZT1a",2.15909090909091,"L",2015
165,"ZT1b",5.41666666666667,"L",2015
165,"ZT2",3.25,"L",2015
167,"ZT1a",2.33333333333333,"L",2015
167,"ZT1b",5.13888888888889,"L",2015
167,"ZT2",2.75,"L",2015
174,"ZT1a",2.44047619047619,"L",2015
174,"ZT1b",5.55,"L",2015
174,"ZT2",3.25,"L",2015
181,"ZT1a",2.40217391304348,"L",2015
181,"ZT1b",5.4375,"L",2015
181,"ZT2",3.25,"L",2015
188,"ZT1a",2.78448275862069,"L",2015
188,"ZT1b",5.56707317073171,"L",2015
188,"ZT2",3.25,"L",2015
195,"ZT1a",2.15,"L",2015
195,"ZT1b",5.95,"L",2015
195,"ZT2",4.25,"L",2015
202,"ZT1a",2.65,"L",2015
202,"ZT1b",6,"L",2015
202,"ZT2",3.25,"L",2015
209,"ZT1a",2.01666666666667,"L",2015
209,"ZT1b",5.95,"L",2015
209,"ZT2",4.25,"L",2015
216,"ZT1a",3.02777777777778,"L",2015
216,"ZT1b",6.05,"L",2015
216,"ZT2",4.25,"L",2015
223,"ZT1a",3.78488372093023,"L",2015
223,"ZT1b",6.88636363636364,"L",2015
223,"ZT2",4.25,"L",2015
230,"ZT1a",2.83333333333333,"L",2015
230,"ZT1b",6.41666666666667,"L",2015
230,"ZT2",4.25,"L",2015
237,"ZT1a",4.03125,"L",2015
237,"ZT1b",6.5,"L",2015
237,"ZT2",4.75,"L",2015
138,"ZT1a",1.25,"R",2015
138,"ZT1b",4,"R",2015
138,"ZT2",2.75,"R",2015
145,"ZT1a",0.607142857142857,"R",2015
145,"ZT1b",4.45,"R",2015
145,"ZT2",2.75,"R",2015
146,"ZT1a",1.17857142857143,"R",2015
146,"ZT1b",4.25,"R",2015
146,"ZT2",3.25,"R",2015
152,"ZT1a",2.125,"R",2015
152,"ZT1b",4.65,"R",2015
152,"ZT2",2.75,"R",2015
156,"ZT1a",1.85714285714286,"R",2015
156,"ZT1b",5,"R",2015
156,"ZT2",3.25,"R",2015
159,"ZT1a",1.88636363636364,"R",2015
159,"ZT1b",5,"R",2015
159,"ZT2",3.25,"R",2015
165,"ZT1a",1.90384615384615,"R",2015
165,"ZT1b",5.4,"R",2015
165,"ZT2",2.75,"R",2015
166,"ZT1a",1.90909090909091,"R",2015
166,"ZT1b",5.25,"R",2015
166,"ZT2",3.75,"R",2015
173,"ZT1a",2.25,"R",2015
173,"ZT1b",5.38636363636364,"R",2015
173,"ZT2",2.75,"R",2015
180,"ZT1a",1.1875,"R",2015
180,"ZT1b",5.15,"R",2015
180,"ZT2",2.75,"R",2015
187,"ZT1a",1.52777777777778,"R",2015
187,"ZT1b",5.33333333333333,"R",2015
187,"ZT2",2.75,"R",2015
194,"ZT1a",1.43181818181818,"R",2015
194,"ZT1b",5.375,"R",2015
194,"ZT2",3.25,"R",2015
201,"ZT1a",1.88636363636364,"R",2015
201,"ZT1b",5.47222222222222,"R",2015
201,"ZT2",3.25,"R",2015
208,"ZT1a",1.625,"R",2015
208,"ZT1b",5.41666666666667,"R",2015
208,"ZT2",2.75,"R",2015
215,"ZT1a",2.42307692307692,"R",2015
215,"ZT1b",5.41666666666667,"R",2015
215,"ZT2",3.25,"R",2015
222,"ZT1a",2.55,"R",2015
222,"ZT1b",5.625,"R",2015
222,"ZT2",3.75,"R",2015
229,"ZT1a",2.08333333333333,"R",2015
229,"ZT1b",5.75,"R",2015
229,"ZT2",3.25,"R",2015
236,"ZT1a",3.375,"R",2015
236,"ZT1b",5.75,"R",2015
236,"ZT2",3.75,"R",2015
140,"ZT1a",1.83333333333333,"T",2015
140,"ZT1b",3.125,"T",2015
140,"ZT2",2.25,"T",2015
146,"ZT1a",0.75,"T",2015
146,"ZT1b",3.22826086956522,"T",2015
146,"ZT2",2.75,"T",2015
147,"ZT1a",1.03125,"T",2015
147,"ZT1b",3.13888888888889,"T",2015
147,"ZT2",2.25,"T",2015
154,"ZT1a",1.27,"T",2015
154,"ZT1b",3.60714285714286,"T",2015
154,"ZT2",2.25,"T",2015
156,"ZT1a",0.78125,"T",2015
156,"ZT1b",3.58333333333333,"T",2015
156,"ZT2",2.25,"T",2015
161,"ZT1a",1.03125,"T",2015
161,"ZT1b",3.75,"T",2015
161,"ZT2",1.75,"T",2015
165,"ZT1a",1.35344827586207,"T",2015
165,"ZT1b",3.75,"T",2015
165,"ZT2",2.25,"T",2015
168,"ZT1a",1.3125,"T",2015
168,"ZT1b",3.75,"T",2015
168,"ZT2",1.75,"T",2015
175,"ZT1a",1.1875,"T",2015
175,"ZT1b",4,"T",2015
175,"ZT2",2.25,"T",2015
182,"ZT1a",1.55,"T",2015
182,"ZT1b",3.95,"T",2015
182,"ZT2",2.25,"T",2015
189,"ZT1a",1.48809523809524,"T",2015
189,"ZT1b",4.39285714285714,"T",2015
189,"ZT2",2.75,"T",2015
196,"ZT1a",1.45454545454545,"T",2015
196,"ZT1b",4.375,"T",2015
196,"ZT2",2.25,"T",2015
203,"ZT1a",1.60714285714286,"T",2015
203,"ZT1b",4.58333333333333,"T",2015
203,"ZT2",2.25,"T",2015
210,"ZT1a",1.37121212121212,"T",2015
210,"ZT1b",4.58333333333333,"T",2015
210,"ZT2",2.75,"T",2015
217,"ZT1a",1.87857142857143,"T",2015
217,"ZT1b",4.45,"T",2015
217,"ZT2",2.75,"T",2015
224,"ZT1a",1.65909090909091,"T",2015
224,"ZT1b",4.75,"T",2015
224,"ZT2",2.75,"T",2015
231,"ZT1a",1.5,"T",2015
231,"ZT1b",4.67857142857143,"T",2015
231,"ZT2",2.75,"T",2015
238,"ZT1a",2.59615384615385,"T",2015
238,"ZT1b",5,"T",2015
238,"ZT2",3.25,"T",2015
142,"ZT1a",1.85,"L",2024
142,"ZT1b",5,"L",2024
142,"ZT2",2.75,"L",2024
149,"ZT1a",2.33333333333333,"L",2024
149,"ZT1b",5.15,"L",2024
149,"ZT2",3.25,"L",2024
156,"ZT1a",0.527777777777778,"L",2024
156,"ZT1b",5.41666666666667,"L",2024
156,"ZT2",2.75,"L",2024
163,"ZT1a",2.825,"L",2024
163,"ZT1b",5.5,"L",2024
163,"ZT2",3.25,"L",2024
170,"ZT1a",2.5625,"L",2024
170,"ZT1b",5.75,"L",2024
170,"ZT2",3.75,"L",2024
177,"ZT1a",2.67857142857143,"L",2024
177,"ZT1b",6.03571428571429,"L",2024
177,"ZT2",3.25,"L",2024
184,"ZT1a",2.86538461538462,"L",2024
184,"ZT1b",6.125,"L",2024
184,"ZT2",3.75,"L",2024
191,"ZT1a",2.875,"L",2024
191,"ZT1b",6.35,"L",2024
191,"ZT2",3.75,"L",2024
198,"ZT1a",2.36111111111111,"L",2024
198,"ZT1b",6.91666666666667,"L",2024
198,"ZT2",3.25,"L",2024
206,"ZT1a",2.875,"L",2024
206,"ZT1b",6.25,"L",2024
206,"ZT2",3.75,"L",2024
212,"ZT1a",2.75,"L",2024
212,"ZT1b",6.25,"L",2024
212,"ZT2",3.75,"L",2024
219,"ZT1a",3.20454545454545,"L",2024
219,"ZT1b",6.75,"L",2024
219,"ZT2",4.25,"L",2024
226,"ZT1a",4.01315789473684,"L",2024
226,"ZT1b",6.5,"L",2024
226,"ZT2",4.75,"L",2024
233,"ZT1a",3.79545454545454,"L",2024
233,"ZT1b",7.125,"L",2024
233,"ZT2",4.75,"L",2024
134,"ZT1a",0.519230769230769,"R",2024
134,"ZT1b",4,"R",2024
134,"ZT2",2.25,"R",2024
141,"ZT1a",1.19444444444444,"R",2024
141,"ZT1b",4.41666666666667,"R",2024
141,"ZT2",2.75,"R",2024
148,"ZT1a",1.91666666666667,"R",2024
148,"ZT1b",4.55,"R",2024
148,"ZT2",2.75,"R",2024
155,"ZT1a",1.52777777777778,"R",2024
155,"ZT1b",4.625,"R",2024
155,"ZT2",3.25,"R",2024
162,"ZT1a",2.30357142857143,"R",2024
162,"ZT1b",4.625,"R",2024
162,"ZT2",2.75,"R",2024
169,"ZT1a",1.94230769230769,"R",2024
169,"ZT1b",5.39285714285714,"R",2024
169,"ZT2",2.75,"R",2024
176,"ZT1a",0.488095238095238,"R",2024
176,"ZT1b",5,"R",2024
176,"ZT2",3.25,"R",2024
183,"ZT1a",1.975,"R",2024
183,"ZT1b",5.08333333333333,"R",2024
183,"ZT2",2.75,"R",2024
190,"ZT1a",1.95,"R",2024
190,"ZT1b",5.55,"R",2024
190,"ZT2",2.75,"R",2024
