"DOY","Ztherm","Lake","Year","DOC","kPAR","cumulative.load","daily.load","Manual_Chl"
175,2.75,"L",2014,3.588,0.750835941729374,7.8,0.3,2.276792218
176,NA,"L",2014,3.58942857142857,0.753335359697453,8.1,0.3,2.248267683
177,NA,"L",2014,3.59085714285714,0.755834777665531,8.4,0.3,1.779034767
178,NA,"L",2014,3.59228571428571,0.75833419563361,8.7,0.3,1.487843211
179,NA,"L",2014,3.59371428571429,0.760833613601688,9,0.3,1.511024783
180,NA,"L",2014,3.59514285714286,0.763333031569767,9.3,0.3,2.477756618
181,NA,"L",2014,3.59657142857143,0.765832449537845,9.6,0.3,2.261625094
182,2.75,"L",2014,3.598,0.768331867505924,9.9,0.3,2.310918248
183,NA,"L",2014,3.598,0.769902292039731,10.2,0.3,2.444233826
184,NA,"L",2014,3.598,0.771472716573538,10.5,0.3,1.751027293
185,NA,"L",2014,3.598,0.773043141107345,10.8,0.3,2.040753843
186,NA,"L",2014,3.598,0.774613565641152,11.1,0.3,2.42691228
187,NA,"L",2014,3.598,0.776183990174959,11.4,0.3,1.951905516
188,NA,"L",2014,3.598,0.777754414708766,11.7,0.3,2.086341393
189,3.25,"L",2014,3.598,0.779324839242573,12,0.3,3.703794578
190,NA,"L",2014,3.61371428571429,0.77608483476278,12.3,0.3,2.645542934
191,NA,"L",2014,3.62942857142857,0.772844830282988,12.6,0.3,2.635718773
192,NA,"L",2014,3.64514285714286,0.769604825803195,12.9,0.3,3.013345704
193,NA,"L",2014,3.66085714285714,0.766364821323403,13.2,0.3,2.312727962
194,NA,"L",2014,3.67657142857143,0.76312481684361,13.5,0.3,2.379170309
195,NA,"L",2014,3.69228571428571,0.759884812363818,13.8,0.3,2.173207652
196,3.25,"L",2014,3.708,0.756644807884025,14.1,0.3,2.562468456
197,NA,"L",2014,3.67371428571429,0.743982261007846,14.4,0.3,2.179326208
198,NA,"L",2014,3.63942857142857,0.731319714131668,14.7,0.3,1.786015092
199,NA,"L",2014,3.60514285714286,0.718657167255489,15,0.3,1.883308749
