"year","lake","DOY","Manual_Chl"
2013,"R",227,2.962587543
2013,"R",228,4.309646517
2013,"R",229,5.700885486
2013,"R",230,3.341995461
2013,"R",231,5.805906333
2013,"R",232,5.106092909
2013,"R",233,4.146312672
2013,"R",234,2.626670205
2013,"R",235,1.953916309
2013,"R",236,1.630925498
2013,"R",237,2.449375711
2013,"R",238,2.688257923
2013,"R",239,4.541462227
2013,"R",240,4.09156165
2013,"R",241,4.064617024
2013,"R",242,6.375937431
2013,"R",243,4.493030841
2013,"R",244,4.405934777
2013,"T",144,8.927863586
2013,"T",145,NA
2013,"T",146,NA
2013,"T",147,6.403399118
2013,"T",148,7.726156222
2013,"T",149,8.722245636
2013,"T",150,5.087651064
2013,"T",151,5.403805179
2013,"T",152,6.207030816
2013,"T",153,9.472903399
2013,"T",154,7.984399498
2013,"T",155,7.770680925
2013,"T",156,9.920563378
2013,"T",157,11.34161953
2013,"T",158,11.6694937
2013,"T",159,7.180829153
2013,"T",160,7.184620935
2013,"T",161,5.680317946
2013,"T",162,5.337046851
2013,"T",163,5.011987795
2013,"T",164,4.901336728
2013,"T",165,5.134761072
2013,"T",166,7.891098702
2013,"T",167,7.356572464
2013,"T",168,7.625329315
2013,"T",169,6.685599557
2013,"T",170,6.087245003
2013,"T",171,5.274482462
2013,"T",172,6.795159051
2013,"T",173,6.978141216
2013,"T",174,8.915626474
2013,"T",175,11.72694493
2013,"T",176,9.552013741
2013,"T",177,NA
2013,"T",178,4.600751896
2013,"T",179,4.69209935
2013,"T",180,5.050020509
2013,"T",181,5.809755566
2013,"T",182,7.01663354
2013,"T",183,6.582244795
2013,"T",184,5.966252714
2013,"T",185,4.332282301
2013,"T",186,4.780689146
2013,"T",187,4.123159826
2013,"T",188,4.82481169
2013,"T",189,6.791539624
2013,"T",190,8.047423497
2013,"T",191,10.93118795
2013,"T",192,10.31806843
2013,"T",193,8.978650473
2013,"T",194,9.718507404
2013,"T",195,10.75624896
2013,"T",196,7.664970663
2013,"T",197,6.493137938
2013,"T",198,5.54823757
2013,"T",199,6.591494443
2013,"T",200,8.49669211
2013,"T",201,8.168243432
2013,"T",202,11.72125726
2013,"T",203,9.457046859
2013,"T",204,12.33627267
2013,"T",205,13.50649676
2013,"T",206,12.20557112
2013,"T",207,13.50873736
2013,"T",208,18.06214944
2013,"T",209,18.24220159
2013,"T",210,21.4884833
2013,"T",211,23.26366884
2013,"T",212,20.73070159
2013,"T",213,17.79006042
2013,"T",214,22.24396697
2013,"T",215,21.30383505
2013,"T",216,18.53508796
2013,"T",217,21.81032509
2013,"T",218,30.52274657
2013,"T",219,23.71810806
2013,"T",220,22.85582256
2013,"T",221,14.2959341
2013,"T",222,14.50413736
2013,"T",223,20.40041447
2013,"T",224,22.38926113
2013,"T",225,16.05646957
2013,"T",226,28.84620479
2013,"T",227,16.57467966
2013,"T",228,18.56323906
2013,"T",229,21.27510944
2013,"T",230,22.19806344
2013,"T",231,18.83343219
2013,"T",232,22.25074622
2013,"T",233,21.64699125
2013,"T",234,15.68108324
2013,"T",235,15.31735951
2013,"T",236,16.26944128
2013,"T",237,15.93582199
2013,"T",238,19.53157953
2013,"T",239,15.12805771
2013,"T",240,10.08901038
2013,"T",241,11.80812352
2013,"T",242,14.60168954
2013,"T",243,11.41291651
2013,"T",244,13.36861381
2014,"L",146,2.161315247
2014,"L",147,2.768861997
2014,"L",148,2.146061946
2014,"L",149,0.716784518
2014,"L",150,1.420108212
2014,"L",151,1.066093737
2014,"L",152,1.578242721
2014,"L",153,2.156575521
2014,"L",154,1.922605389
2014,"L",155,1.78360214
2014,"L",156,1.081347038
2014,"L",157,1.967934409
2014,"L",158,1.727328661
2014,"L",159,1.84504623
2014,"L",160,1.889858189
2014,"L",161,1.859265409
2014,"L",162,1.33961904
2014,"L",163,1.809972254
2014,"L",164,2.163038784
2014,"L",165,2.244820609
2014,"L",166,2.006369282
2014,"L",167,2.084617856
2014,"L",168,1.500338854
2014,"L",169,1.649941855
2014,"L",170,1.947941382
2014,"L",171,1.933549849
2014,"L",172,2.130636291
2014,"L",173,1.570486805
2014,"L",174,2.089012875
2014,"L",175,2.276792218
2014,"L",176,2.248267683
2014,"L",177,1.779034767
2014,"L",178,1.487843211
2014,"L",179,1.511024783
2014,"L",180,2.477756618
2014,"L",181,2.261625094
2014,"L",182,2.310918248
2014,"L",183,2.444233826
2014,"L",184,1.751027293
2014,"L",185,2.040753843
2014,"L",186,2.42691228
2014,"L",187,1.951905516
2014,"L",188,2.086341393
2014,"L",189,3.703794578
2014,"L",190,2.645542934
2014,"L",191,2.635718773
2014,"L",192,3.013345704
2014,"L",193,2.312727962
2014,"L",194,2.379170309
2014,"L",195,2.173207652
2014,"L",196,2.562468456
2014,"L",197,2.179326208
2014,"L",198,1.786015092
2014,"L",199,1.883308749
2014,"L",200,1.813160798
2014,"L",201,2.101853225
2014,"L",202,1.815056688
2014,"L",203,2.349525475
2014,"L",204,1.839530912
2014,"L",205,2.278860462
2014,"L",206,2.654677679
2014,"L",207,2.495509048
2014,"L",208,3.100901377
2014,"L",209,2.689493124
2014,"L",210,2.512830594
2014,"L",211,1.784808616
2014,"L",212,1.816004633
2014,"L",213,2.204145139
2014,"L",214,1.598838987
2014,"L",215,1.574106232
2014,"L",216,1.673726664
2014,"L",217,1.628311467
2014,"L",218,1.395806342
2014,"L",219,1.579276843
2014,"L",220,1.244479804
2014,"L",221,1.626501753
2014,"L",222,1.792219824
2014,"L",223,2.648086012
2014,"L",224,2.316431843
2014,"L",225,1.819537884
2014,"L",226,1.658559539
2014,"L",227,1.941391941
2014,"L",228,2.147526952
2014,"L",229,2.391838305
2014,"L",230,2.841250546
2014,"L",231,2.953281305
2014,"L",232,2.909547419
2014,"L",233,2.908468485
2014,"L",234,6.359937263
2014,"L",235,2.293855233
2014,"L",236,3.351245109
2014,"L",237,3.132872986
2014,"L",238,2.52877331
2014,"L",239,2.468621873
2014,"L",240,1.880206382
2014,"L",241,1.949406388
2014,"R",146,2.508177044
2014,"R",147,2.864949178
2014,"R",148,2.983873223
2014,"R",149,0.771730873
2014,"R",150,1.478105228
2014,"R",151,1.285241451
2014,"R",152,1.32048778
2014,"R",153,1.935014855
2014,"R",154,2.327291849
2014,"R",155,2.710434097
2014,"R",156,8.006862929
2014,"R",157,4.892000903
2014,"R",158,4.523767248
2014,"R",159,5.170696816
2014,"R",160,6.811503926
2014,"R",161,2.576342928
2014,"R",162,6.688874277
2014,"R",163,6.277466024
2014,"R",164,5.10141192
2014,"R",165,7.44141314
