"lake","year","DOY","kPAR"
"L",2025,189,0.720204937047581
"L",2025,196,0.667806244234053
"L",2025,203,0.732996303951984
"L",2025,210,0.742375554485317
"L",2025,224,0.681932248580427
"L",2025,231,0.647312678600263
"R",2013,140,1.35393021801441
"R",2013,147,1.04269669105
"R",2013,154,0.999989607818619
"R",2013,161,1.02691434697672
"R",2013,168,1.21364544909476
"R",2013,175,1.06282833698997
"R",2013,182,1.25118887639761
"R",2013,189,1.27797682767439
"R",2013,196,1.27930806038473
"R",2013,203,1.39200215620381
"R",2013,210,1.36487553813387
"R",2013,217,1.26458317287552
"R",2013,224,1.25606605992838
"R",2013,231,1.22712518233026
"R",2013,238,1.0932177914475
"R",2014,139,1.10896375345933
"R",2014,146,0.829219288751165
"R",2014,153,0.990119349599043
"R",2014,160,1.10154748372181
"R",2014,174,1.02377027577979
"R",2014,181,1.05581773974881
"R",2014,188,1.00272003419339
"R",2014,195,1.03783564652127
"R",2014,202,1.05738989561413
"R",2014,209,1.22075935777348
"R",2014,216,1.16702544910873
"R",2014,223,1.01576038856639
"R",2014,230,0.917280610525549
"R",2014,237,0.957002681987396
"R",2015,138,0.926675609847215
"R",2015,145,0.904788430880846
"R",2015,152,0.854873802393625
"R",2015,159,0.860575497769336
"R",2015,166,0.829674022418996
"R",2015,173,1.10442303791288
"R",2015,180,1.21229488786323
"R",2015,187,1.01884968485179
"R",2015,194,0.984194145434249
"R",2015,201,0.975523222474056
"R",2015,208,0.964527515618764
"R",2015,215,0.840993967439144
"R",2015,222,0.890840327639117
"R",2015,229,0.744579132129868
"R",2015,236,0.744594164076374
"R",2024,134,0.849462810020802
"R",2024,141,1.01905373755421
"R",2024,148,0.998438499351634
"R",2024,155,0.956424100084255
"R",2024,162,1.13300091685372
"R",2024,169,1.21217548097284
"R",2024,176,1.23248505594413
"R",2024,183,1.3287191723299
"R",2024,190,1.34091197425516
"R",2024,197,1.48098363951962
"R",2024,211,1.32336752160849
"R",2024,218,1.60458124539799
"R",2024,225,1.18658272336162
"R",2024,232,1.12289224344728
"R",2025,160,1.04908829338638
"R",2025,167,0.989820643288081
"R",2025,174,1.27769259359677
"R",2025,181,1.01758901822794
"R",2025,188,1.19164589007472
"R",2025,195,1.09379481053799
"R",2025,202,1.12308127773677
"R",2025,209,1.0934943861528
"R",2025,216,1.03798810804537
"R",2025,223,1.16762741109344
"T",2013,142,1.93547316436024
"T",2013,149,1.76356344082788
"T",2013,156,1.77897613819758
"T",2013,163,1.85761717257766
"T",2013,170,1.91646925369675
"T",2013,177,1.78978463669666
"T",2013,184,1.96798341958906
"T",2013,191,1.96141722992497
"T",2013,198,1.98337181939732
"T",2013,205,2.19312344052941
"T",2013,212,2.27263321352739
"T",2013,219,2.20518434456477
"T",2013,226,2.01095099298693
"T",2013,233,1.99311762900503
"T",2013,240,2.17934370401816
"T",2014,141,1.96350447900275
"T",2014,148,1.68188344313111
"T",2014,155,1.82358751410229
"T",2014,162,1.58067863848014
"T",2014,169,1.82563539484926
"T",2014,176,1.70490317140314
"T",2014,183,1.54087136941485
"T",2014,190,1.64838154548647
"T",2014,197,1.79685195680948
"T",2014,204,1.79775167863764
"T",2014,211,1.84161624470386
"T",2014,218,1.7856924007569
"T",2014,225,1.77246407870726
"T",2014,232,1.71621540576338
"T",2014,239,1.80017501976384
"T",2015,140,1.98533994239321
"T",2015,147,1.73348615143047
"T",2015,154,1.7624898652143
"T",2015,161,1.54741124781212
"T",2015,168,1.61944127353449
"T",2015,175,1.51348116860507
"T",2015,182,1.35080916340882
"T",2015,189,1.70631554310359
"T",2015,196,1.60272589536623
"T",2015,203,1.6292814260144
"T",2015,210,1.81354110334397
"T",2015,217,1.74036515662478
"T",2015,224,1.71264930151305
"T",2015,231,1.92546369337708
"T",2015,238,1.97932105359111
"T",2024,143,1.21229838009886
"T",2024,150,1.19025436178369
"T",2024,157,1.13308647129233
"T",2024,164,1.19871371593035
"T",2024,171,1.55751407188373
"T",2024,178,1.34049627541184
"T",2024,185,1.38827783704606
"T",2024,192,1.34178571028153
"T",2024,199,1.21617672659725
"T",2024,213,1.64748017643083
"T",2024,220,1.55003129162607
"T",2024,227,1.63714582692826
"T",2024,234,1.55828150988103
"T",2025,155,1.16228059794578
"T",2025,162,1.30566526526814
"T",2025,169,1.31978258248105
"T",2025,176,1.2587513353059
