"Year","Lake","DoY","Chl_HYLB","Chl_logged_HYLB"
2015,"T",129.663194444444,9.7,1.02938377768521
2015,"T",129.666666666667,11.8,1.10720996964787
2015,"T",129.670138888889,10.8,1.07188200730613
2015,"T",129.673611111111,11.3,1.0899051114394
2015,"T",129.677083333333,10.4,1.05690485133647
2015,"T",129.680555555556,8.5,0.977723605288848
2015,"T",129.684027777778,11,1.07918124604762
2015,"T",129.6875,11.1,1.08278537031645
2015,"T",129.690972222222,10.4,1.05690485133647
2015,"T",129.694444444444,11.1,1.08278537031645
2015,"T",129.697916666667,10.5,1.06069784035361
2015,"T",129.701388888889,11.5,1.09691001300806
2015,"T",129.704861111111,10.3,1.05307844348342
2015,"T",129.708333333333,10.5,1.06069784035361
2015,"T",129.711805555556,10.3,1.05307844348342
2015,"T",129.715277777778,10.5,1.06069784035361
2015,"T",129.71875,10.4,1.05690485133647
2015,"T",129.722222222222,10.1,1.04532297878666
2015,"T",129.725694444444,11,1.07918124604762
2015,"T",129.729166666667,10.5,1.06069784035361
2015,"T",129.732638888889,11,1.07918124604762
2015,"T",129.736111111111,10.2,1.04921802267018
2015,"T",129.739583333333,10.6,1.06445798922692
2015,"T",129.743055555556,12.4,1.12710479836481
2015,"T",129.746527777778,11.4,1.09342168516224
2015,"T",129.75,11.9,1.11058971029925
2015,"T",129.753472222222,12.5,1.13033376849501
2015,"T",129.756944444444,11.9,1.11058971029925
2015,"T",129.760416666667,13.8,1.17026171539496
2015,"T",129.763888888889,11.7,1.10380372095596
2015,"T",129.767361111111,11.9,1.11058971029925
2015,"T",129.770833333333,12.2,1.12057393120585
2015,"T",129.774305555556,12.7,1.13672056715641
2015,"T",129.777777777778,12.6,1.13353890837022
2015,"T",129.78125,14.3,1.1846914308176
2015,"T",129.784722222222,13.1,1.14921911265538
2015,"T",129.788194444444,11.4,1.09342168516224
2015,"T",129.791666666667,12.1,1.11727129565576
2015,"T",129.795138888889,12.8,1.13987908640124
2015,"T",129.798611111111,13.3,1.15533603746506
2015,"T",129.802083333333,12.6,1.13353890837022
2015,"T",129.805555555556,12.8,1.13987908640124
2015,"T",129.809027777778,12.6,1.13353890837022
2015,"T",129.8125,13.6,1.16435285578444
2015,"T",129.815972222222,13.1,1.14921911265538
2015,"T",129.819444444444,12.7,1.13672056715641
2015,"T",129.822916666667,11.4,1.09342168516224
2015,"T",129.826388888889,13.7,1.16731733474818
2015,"T",129.829861111111,12.6,1.13353890837022
2015,"T",129.833333333333,12.7,1.13672056715641
2015,"T",129.836805555556,10.7,1.06818586174616
2015,"T",129.840277777778,10.7,1.06818586174616
2015,"T",129.84375,10.9,1.07554696139253
2015,"T",129.847222222222,9.6,1.02530586526477
2015,"T",129.850694444444,8.5,0.977723605288848
2015,"T",129.854166666667,9.4,1.01703333929878
2015,"T",129.857638888889,8.3,0.968482948553935
2015,"T",129.861111111111,11.3,1.0899051114394
2015,"T",129.864583333333,9.9,1.03742649794062
2015,"T",129.868055555556,13,1.14612803567824
2015,"T",129.871527777778,13.8,1.17026171539496
2015,"T",129.875,13.3,1.15533603746506
2015,"T",129.878472222222,14.3,1.1846914308176
2015,"T",129.881944444444,9,1
2015,"T",129.885416666667,8.2,0.963787827345555
2015,"T",129.888888888889,14,1.17609125905568
2015,"T",129.892361111111,11.6,1.10037054511756
2015,"T",129.895833333333,9.7,1.02938377768521
2015,"T",129.899305555556,8.7,0.986771734266245
2015,"T",129.902777777778,11.4,1.09342168516224
2015,"T",129.90625,8.9,0.99563519459755
2015,"T",129.909722222222,9,1
2015,"T",129.913194444444,10.2,1.04921802267018
2015,"T",129.916666666667,9.8,1.03342375548695
2015,"T",129.920138888889,9.5,1.02118929906994
2015,"T",129.923611111111,8.8,0.991226075692495
2015,"T",129.927083333333,9.5,1.02118929906994
2015,"T",129.930555555556,10.7,1.06818586174616
2015,"T",129.934027777778,9.7,1.02938377768521
2015,"T",129.9375,9.9,1.03742649794062
2015,"T",129.940972222222,9.5,1.02118929906994
2015,"T",129.944444444444,8.8,0.991226075692495
2015,"T",129.947916666667,9.1,1.00432137378264
2015,"T",129.951388888889,10.5,1.06069784035361
2015,"T",129.954861111111,10,1.04139268515823
2015,"T",129.958333333333,10.9,1.07554696139253
2015,"T",129.961805555556,10.1,1.04532297878666
2015,"T",129.965277777778,11.1,1.08278537031645
2015,"T",129.96875,9.6,1.02530586526477
2015,"T",129.972222222222,9.1,1.00432137378264
2015,"T",129.975694444444,10.9,1.07554696139253
2015,"T",129.979166666667,11,1.07918124604762
2015,"T",129.982638888889,9.8,1.03342375548695
2015,"T",129.986111111111,9.8,1.03342375548695
2015,"T",129.989583333333,10.4,1.05690485133647
2015,"T",129.993055555556,9,1
2015,"T",129.996527777778,10,1.04139268515823
2015,"T",130,10.4,1.05690485133647
2015,"T",130.003472222222,9.8,1.03342375548695
2015,"T",130.006944444444,9.3,1.01283722470517
2015,"T",130.010416666667,10.6,1.06445798922692
2015,"T",130.013888888889,9.1,1.00432137378264
2015,"T",130.017361111111,9.1,1.00432137378264
2015,"T",130.020833333333,9.7,1.02938377768521
2015,"T",130.024305555556,9,1
2015,"T",130.027777777778,8.2,0.963787827345555
2015,"T",130.03125,8.8,0.991226075692495
2015,"T",130.034722222222,9.2,1.00860017176192
2015,"T",130.038194444444,8,0.954242509439325
2015,"T",130.041666666667,11.8,1.10720996964787
2015,"T",130.045138888889,9.3,1.01283722470517
2015,"T",130.048611111111,8.9,0.99563519459755
2015,"T",130.052083333333,8.5,0.977723605288848
2015,"T",130.055555555556,10.5,1.06069784035361
2015,"T",130.059027777778,9.6,1.02530586526477
2015,"T",130.0625,10.7,1.06818586174616
2015,"T",130.065972222222,10.4,1.05690485133647
2015,"T",130.069444444444,10.2,1.04921802267018
2015,"T",130.072916666667,11.4,1.09342168516224
2015,"T",130.076388888889,9.5,1.02118929906994
2015,"T",130.079861111111,9.3,1.01283722470517
2015,"T",130.083333333333,9.8,1.03342375548695
2015,"T",130.086805555556,9.6,1.02530586526477
2015,"T",130.090277777778,10.8,1.07188200730613
2015,"T",130.09375,9.9,1.03742649794062
2015,"T",130.097222222222,10.8,1.07188200730613
2015,"T",130.100694444444,9.6,1.02530586526477
2015,"T",130.104166666667,9.3,1.01283722470517
2015,"T",130.107638888889,8.1,0.959041392321094
2015,"T",130.111111111111,10.3,1.05307844348342
2015,"T",130.114583333333,9.8,1.03342375548695
2015,"T",130.118055555556,10.7,1.06818586174616
2015,"T",130.121527777778,10.8,1.07188200730613
2015,"T",130.125,9.3,1.01283722470517
2015,"T",130.128472222222,10.6,1.06445798922692
2015,"T",130.131944444444,11,1.07918124604762
2015,"T",130.135416666667,9.1,1.00432137378264
2015,"T",130.138888888889,10.2,1.04921802267018
2015,"T",130.142361111111,9.6,1.02530586526477
2015,"T",130.145833333333,10.6,1.06445798922692
2015,"T",130.149305555556,10.9,1.07554696139253
2015,"T",130.152777777778,10.3,1.05307844348342
